Unnamed: 0,Star_Name_1,Distance_1,Star_Mass_1,Star_Radius_1,Star_Name,Distance,Star_Mass,Star_Radius
0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,4.932624,0.00094504212
1,Sirius,0008.6,2.1,1.71,2MASS J00040288-6410358,192.0,1.952497,0.00155597844
2,Canopus,0310,15,71,2MASS J00242463-0158201,37.7,8.118276999999999,0.00104050092
3,Alpha Centauri,0004.4,1.1,1.2,2MASS J00274197+0503417,236.0,3.185653,0.00137460672
4,Arcturus,0037,1.1,26,2MASSW J0030300-145033,87.2,5.549201999999999,0.00093549624
5,Vega,0025,2.2,2.7,2MASS J00332386-1521309 [de],131.0,2.980127,0.00136506084
6,Capella,0043,2.6,12,2MASS J00345157+0523050,31.0,4.316046,0.00089731272
7,Rigel,0860,23,78.9,2MASS 0036+1821,28.6,4.316046,0.00089731272
8,Procyon,0011.4,1.5,1.9,2MASSW J0045214+163445,57.0,2.363549,0.00154643256
9,Betelgeuse,0640[1],20,950,WISEP J004701.06+680352.1 [fr],40.0,1.233156,0.0012409644
10,Achernar,0144,6.7,9.3,2MASS J00501994-3322402 [de],34.0,4.110519999999999,0.00089731272
11,Hadar,0390,10.5,8.6,2MASS J00584253-0651239 [de],96.0,2.980127,0.00136506084
12,Altair,0017,1.8,1.8,2MASSI J0103320+193536,70.0,5.343675999999999,0.00093549624
13,Acrux,0320,18,8.9,SDSSp J010752.33+004156.1 [de],51.0,5.343675999999999,0.00093549624
14,Aldebaran,0065,1.5,44,2MASSI J0117474-340325 [de],163.0,2.05526,0.00154643256
15,Antares,0600,12,680,2MASS J01415823-4633574 [de],130.0,2.05526,0.00153688668
16,Spica,0260,11.43,7.47,SDSS J015141.69+124429.6,70.0,4.829860999999999,0.00092595036
17,Pollux,0034,1.9,8.8,SDSS J020742.48+000056.2 [de],111.0,4.829860999999999,0.00092595036
18,Fomalhaut,0025,1.9,1.8,2MASS J02103857-3015313,101.0,1.541445,0.00146051964
19,Deneb,"2,600",19,203,2MASS J02340093-6442068,155.0,2.05526,0.00154643256
20,Mimosa,0350,16,8.4,2MASS J02411151-0326587 [de],152.0,2.774601,0.00134596908
21,Regulus,0077,3.8,3.1,2MASS J02431371−2453298,35.0,3.391179,0.00094504212
22,Adhara,0430,12.5,14,LP 771-21,53.0,8.015514,0.00103095504
23,Shaula,0700,14.5,8.8,Teegarden's star,12.578,8.221039999999999,0.00121232676
24,Castor,0052,2.8,2.4,2MASS J02535980+3206373,184.0,6.679595,0.0018137172
25,Gacrux,0088,1.5,84,WISE J0254+0223,24.0,6.679595,0.0018137172
26,Bellatrix,0240,8.6,5.8,DEN 0255-4700,16.2,8.221039999999999,0.00092595036
27,Elnath,0130,5.0,4.2,2MASS J03185403-3421292 [de],45.0,5.035387,0.00092595036
28,Miaplacidus,0110,3.5,6.8,2MASS J03205965+1854233,47.0,9.043144,0.0010977762
29,Alnilam,"2,000",32,42,2MASS J03231002-4631237,192.0,2.363549,0.00158461608
30,Gamma Velorum,"01,100",9.0,6,SDSS J032553.17+042540.1,59.0,4.624334999999999,0.0009068586
31,Alnair,0101,4.0,3.4,2MASS J03264225-2102057 [de],80.0,1.849734,0.0012409644
32,Alioth,0081,2.9,4.2,2MASS J03284265+2302051 [de],98.0,5.549201999999999,0.00093549624
33,Alnitak,01050,33,20,2MASS J03341218-4953322,27.0,7.501698999999999,0.00099277152
34,Dubhe,0120,4.25,30,LP 944-20,20.9,7.501698999999999,0.00136506084
35,Mirfak,0590,8.5,68,2MASP J0345432+254023,88.0,7.604462,0.0010023174
36,Wezen,"1,600",17,200,Teide 1,380.0,5.651965,0.00360834264
37,Sargas,0270,5.7,26,2MASS J03510004-0052452,48.0,10.481826,0.00121232676
38,Kaus Australis,0140,3.5,6.8,2MASS J03552337+1133437,29.8,2.05526,0.00126005616
39,Avior,0630,9.0,130,2MASS J04151954−0935066,18.6,3.08289,0.0009068586
40,Alkaid,0104,6.1,3.4,2MASS J04285096-2253227 [de],85.0,8.221039999999999,0.00104050092
41,Menkalinan,081,2.39,2.77,2MASS J04351612-1606574,34.0,10.2763,0.00120278088
42,Atria,0390,7,92,2MASS J04362788-4114465,142.0,4.007757,0.00188053836
43,Alhena,0109,2.8,3.3,2MASS J04390101-2353083 [de],29.5,4.932624,0.00092595036
44,Peacock,0180,5.9,4.8,2MASS J04433764+0002040,82.0,2.260786,0.00169916664
45,Alsephina[2],0080,2.4,2.9,2MASS J04455387-3048204 [de],42.0,6.576832,0.000954588
46,Mirzam,0500,13.5,10,2MASS J04510093-3402150 [de],69.0,7.398935999999999,0.00099277152
47,Polaris,0430,5.4,39,2MASS J05002100+0330501 [de],44.0,6.576832,0.000954588
48,Alphard,0180,3.0,50,2MASS J05012406-0010452 [de],64.0,2.158023,0.00131733144
49,Mintaka,01200,24,16.5,2MASS J05160945-0445499 [de],73.0,4.829860999999999,0.00092595036
50,Scheat,0196,2.1,95,2MASS J0523−1403,40.0,6.987883999999999,0.00096413388
51,Almaaz,0653,15,140,SDSS J053951.99-005902.0,41.62,6.268542999999999,0.00096413388
52,Rasalgethi,0360,2.8,280,LSR 0602+3910 [de],34.6,2.877364,0.00134596908
53,Tau Ceti,011.9,0.783,0.893,2MASS J06085283-2753583,102.0,3.904994,0.00144142788
54,Delta Pavonis,019.92,0.991,1.22,2MASS J06244595-4521548 [de],39.0,5.754728,0.00094504212
55,Ran,010.48,0.82,0.74,2MASS J06411840-4322329 [de],65.0,6.885121,0.00096413388
56,V382 Carinae,"08,900",20,485,DENIS-P J0652197-253450 [de],51.0,7.707224999999999,0.0010023174
57,Eta Carinae,"07,500",100,60–881,2MASS J07075327-4900503,60.0,7.398935999999999,0.00098322564
58,Delta Cephei,0887,4.5,44.5,UGPS J072227.51-054031.2,13.4,2.671838,0.00093549624
59,Mu Cephei,"06,000",19.2,972,2MASSI J0727182+171001 [de],29.6,4.213283,0.00089731272
60,Titawin,044.25,1.27,1.48,2MASS J07290002-3954043 [de],25.8,3.802231,0.00089731272
61,Rho Cassiopeiae,"08,154",22,636-981,SDSS J074201.41+205520.5 [de],49.0,4.418809,0.00089731272
62,P Cygni,"05,545",30,76,DENIS-P J0751164-253043 [de],55.0,7.296173,0.00098322564
64,VV Cephei,"04,900",18.2,"516 - 1,050",DENIS J081730.0-615520,16.1,4.521572,0.00089731272
65,61 Cygni,011.41,0.7,0.665,2MASS J08251968+2115521 [de],35.0,5.343675999999999,0.00093549624
66,R Doradus,0178,0.7 - 1.0,298,SDSSp J083008.12+482847.4 [de],43.0,4.932624,0.00094504212
67,Polaris Australis,0281,1.59,3.74,LHS 2021,55.0,9.043144,0.0010977762
68,R Coronae Borealis,"04,566",0.85,85,SDSS J083048.80+012831.1 [de],77.0,4.727098,0.00091640448
69,54 Piscium,036.1,0.76,0.94,2MASSI J0835425-081923 [de],23.53,6.371306,0.000954588
70,Mira,0300,1.2,370,2MASSI J0847287-153237 [de],43.0,6.576832,0.000954588
71,RW Cephei,"014,000",13.9,"1,158",2MASS J08533619-0329321,27.6,7.912750999999999,0.00102140916
72,Lacaille 8760,012.87,0.6,0.51,2MASSI J0859254-194926 [de],50.0,5.13815,0.00093549624
73,V838 Monocerotis,"019,896",?,380 - 750,2MASSI J0937347+293142,20.0,4.316046,0.00089731272
74,HD 140283,0190,?,1.4,2MASS 0939−2448,17.4,3.288416,0.0009068586
75,II Pegasi,0130,0.8,3.4,2MASS J09490860-1545485 [de],59.0,5.035387,0.00091640448
76,VY Canis Majoris,"03,900",17,"1,420",2MASS J10073369-4555147,46.0,4.521572,0.00089731272
77,Pistol Star,"025,000",100,320,2MASSI J1010148-040649 [de],55.0,5.240913,0.00093549624
78,S Doradus,"0169,000",24,380,2MASS J10224821+5825453 [de],60.0,2.774601,0.00134596908
79,UY Scuti,"05,100",7–10,755,2MASSW J1036530-344138 [de],53.0,5.035387,0.00092595036
80,Barnard's Star,05.98,0.14,0.20,2MASS J1047538+212423 [de],34.4,4.316046,0.00089731272
81,Luhman 16,06.52,0.04,?,DEN 1048-3956,13.15,7.912750999999999,0.00102140916
82,Proxima Centauri,04.25,0.12,0.15,Luhman 16B,6.516,4.418809,0.00097367976
83,KIC 8462852,"01,470",1.43,1.58,Luhman 16A,6.516,4.110519999999999,0.00096413388
